arm,true_ttp,n,exact_pct,parent_pct,not_detected_pct,top_wrong
A1,T1046,150,0.0,0.0,0.0,"[('T1578', 150)]"
A1,T1078.004,21,0.143,0.286,0.524,"[('T1098', 2), ('T1578', 1), ('T1046', 1)]"
A1,T1098,18,0.0,0.0,0.0,"[('T1580', 10), ('T1548', 4), ('T1548.005', 4)]"
A1,T1098.001,18,0.0,0.0,0.0,"[('T1548.005', 6), ('T1537', 5), ('T1548', 3)]"
A1,T1110,54,1.0,1.0,0.0,[]
A1,T1190,9,0.0,0.0,0.222,"[('T1562.001', 4), ('T1562.008', 3)]"
A1,T1485,72,0.0,0.0,0.0,"[('T1562.008', 40), ('T1562.001', 16), ('T1537', 16)]"
A1,T1496,12,0.0,0.0,0.0,"[('T1548.005', 10), ('T1526', 2)]"
A1,T1526,24,0.0,0.0,0.0,"[('T1046', 18), ('T1078.004', 3), ('T1537', 2)]"
A1,T1528,18,0.0,0.0,0.389,"[('T1548', 6), ('T1548.005', 2), ('T1562.008', 1)]"
A1,T1530,147,0.0,0.0,0.014,"[('T1548.005', 48), ('T1562.008', 42), ('T1537', 42)]"
A1,T1537,39,0.026,0.026,0.077,"[('T1046', 27), ('T1562.008', 6), ('T1528', 1)]"
A1,T1548.005,15,0.2,0.667,0.067,"[('T1552.005', 3), ('T1098.001', 1)]"
A1,T1552.005,12,0.0,0.0,0.083,"[('T1537', 5), ('T1528', 2), ('T1578', 2)]"
A1,T1562.008,15,0.467,0.533,0.133,"[('T1098.001', 2), ('T1571', 1), ('T1098', 1)]"
A1,T1571,36,0.0,0.0,0.0,"[('T1562.008', 28), ('T1578', 8)]"
A1,T1578,15,0.0,0.0,0.0,"[('T1548', 4), ('T1046', 3), ('T1562.001', 3)]"
A1,T1580,18,0.0,0.0,0.111,"[('T1046', 5), ('T1082', 3), ('T1548.005', 2)]"
A2,T1046,150,0.0,0.0,0.0,"[('T1578', 100), ('T1562.008', 25), ('T1595', 25)]"
A2,T1078.004,21,0.0,0.048,0.476,"[('T1098', 6), ('T1548.005', 2), ('T1578', 1)]"
A2,T1098,18,0.0,0.0,0.0,"[('T1580', 12), ('T1548', 4), ('T1578', 1)]"
A2,T1098.001,18,0.0,0.0,0.0,"[('T1548', 7), ('T1537', 5), ('T1548.005', 3)]"
A2,T1110,54,0.667,0.667,0.0,"[('T1526', 6), ('T1548.005', 6), ('T1562.008', 6)]"
A2,T1190,9,0.0,0.0,0.0,"[('T1562.001', 6), ('T1562.008', 3)]"
A2,T1485,72,0.111,0.111,0.0,"[('T1571', 16), ('T1562.008', 16), ('T1496', 16)]"
A2,T1496,12,0.083,0.083,0.083,"[('T1548', 5), ('T1578', 1), ('T1548.005', 1)]"
A2,T1526,24,0.0,0.0,0.083,"[('T1046', 18), ('T1530', 2), ('T1078.004', 1)]"
A2,T1528,18,0.0,0.0,0.278,"[('T1548', 4), ('T1537', 4), ('T1548.005', 3)]"
A2,T1530,147,0.0,0.0,0.218,"[('T1046', 30), ('T1562.008', 30), ('T1078.004', 24)]"
A2,T1537,39,0.026,0.026,0.795,"[('T1562.008', 2), ('T1526', 1), ('T1562.001', 1)]"
A2,T1548.005,15,0.133,0.533,0.067,"[('T1578', 4), ('T1571', 1), ('T1552.005', 1)]"
A2,T1552.005,12,0.0,0.0,0.0,"[('T1537', 4), ('T1578', 3), ('T1078', 2)]"
A2,T1562.008,15,0.533,0.733,0.0,"[('T1580', 1), ('T1548.005', 1), ('T1571', 1)]"
A2,T1571,36,0.0,0.0,0.0,"[('T1046', 36)]"
A2,T1578,15,0.0,0.0,0.0,"[('T1548', 8), ('T1098', 3), ('T1548.005', 1)]"
A2,T1580,18,0.0,0.0,0.556,"[('T1537', 2), ('T1530', 2), ('T1578', 2)]"
A3,T1046,150,0.0,0.0,0.08,"[('T1578', 69), ('T1595', 69)]"
A3,T1078.004,21,0.0,0.095,0.476,"[('T1098', 5), ('T1578', 1), ('T1548.005', 1)]"
A3,T1098,18,0.167,0.222,0.0,"[('T1580', 9), ('T1548.005', 2), ('T1548', 2)]"
A3,T1098.001,18,0.056,0.056,0.0,"[('T1548', 8), ('T1548.005', 2), ('T1530', 2)]"
A3,T1110,54,0.667,0.667,0.0,"[('T1526', 12), ('T1562.008', 6)]"
A3,T1190,9,0.0,0.0,0.0,"[('T1562.001', 6), ('T1562.008', 2), ('T1496', 1)]"
A3,T1485,72,0.111,0.111,0.0,"[('T1496', 16), ('T1571', 16), ('T1537', 16)]"
A3,T1496,12,0.25,0.25,0.0,"[('T1548', 7), ('T1098', 1), ('T1098.001', 1)]"
A3,T1526,24,0.0,0.0,0.083,"[('T1046', 18), ('T1098', 2), ('T1078.004', 1)]"
A3,T1528,18,0.0,0.0,0.111,"[('T1548', 7), ('T1537', 3), ('T1078.004', 2)]"
A3,T1530,147,0.041,0.041,0.204,"[('T1078.004', 24), ('T1528', 20), ('T1046', 18)]"
A3,T1537,39,0.026,0.026,0.667,"[('T1578', 2), ('T1098', 2), ('T1548', 2)]"
A3,T1548.005,15,0.133,0.667,0.0,"[('T1578', 4), ('T1571', 1)]"
A3,T1552.005,12,0.0,0.0,0.0,"[('T1537', 4), ('T1528', 2), ('T1578', 1)]"
A3,T1562.008,15,0.4,0.667,0.067,"[('T1578', 1), ('T1496', 1), ('T1098.001', 1)]"
A3,T1571,36,0.0,0.0,0.0,"[('T1046', 36)]"
A3,T1578,15,0.0,0.0,0.0,"[('T1548', 10), ('T1496', 3), ('T1571', 1)]"
A3,T1580,18,0.0,0.0,0.444,"[('T1046', 3), ('T1537', 3), ('T1496', 2)]"
A4,T1046,150,1.0,1.0,0.0,[]
A4,T1078.004,21,1.0,1.0,0.0,[]
A4,T1098,18,1.0,1.0,0.0,[]
A4,T1098.001,18,1.0,1.0,0.0,[]
A4,T1110,54,1.0,1.0,0.0,[]
A4,T1190,9,1.0,1.0,0.0,[]
A4,T1485,72,1.0,1.0,0.0,[]
A4,T1496,12,0.0,0.0,0.0,"[('T1578', 12)]"
A4,T1526,24,1.0,1.0,0.0,[]
A4,T1528,18,1.0,1.0,0.0,[]
A4,T1530,147,1.0,1.0,0.0,[]
A4,T1537,39,0.923,0.923,0.077,[]
A4,T1548.005,15,1.0,1.0,0.0,[]
A4,T1552.005,12,1.0,1.0,0.0,[]
A4,T1562.008,15,1.0,1.0,0.0,[]
A4,T1571,36,1.0,1.0,0.0,[]
A4,T1578,15,1.0,1.0,0.0,[]
A4,T1580,18,0.0,0.0,0.0,"[('T1526', 18)]"
